func,arg1,arg2,value
Ln1p,0.05,,0.048790164169432003065374404223164658607973664415582410040076573114107924323631039
Expm1,0.05,,0.0512710963760240396975176363356452201748212960550625287839384791662798696505613
Ln1p,-0.05,,-0.051293294387550533426196144254687238439222361689899411616047674051673529582849907
Expm1,-0.05,,-0.04877057549928599090857468022034783934291255065962686546975043393329684483151306
Ln1p,1,,0.69314718055994530941723212145817656807550013436025525412068000949339362196969472
Expm1,1,,1.7182818284590452353602874713526624977572470936999595749669676277240766303535476
Ln1p,-0.5,,-0.69314718055994530941723212145817656807550013436025525412068000949339362196969472
Expm1,-0.5,,-0.39346934028736657639620046500881954655808186451281304431710784126494348058625158
Ln1p,0.5,,0.40546510810816438197801311546434913657199042346249419761401432414410067124891425
Expm1,0.5,,0.6487212707001281468486507878141635716537761007101480115750793116406610211942156
Ln1p,2,,1.0986122886681096913952452369225257046474905578227494517346943336374942932186090
Expm1,2,,6.3890560989306502272304274605750078131803155705518473240871278225225737960790578
Ln1p,9,,2.3025850929940456840179914546843642076011014886287729760333279009675726096773525
Expm1,9,,8102.0839275753840077099966894327599650114760878316134625001590521782725156906248
Ln1p,1E-15,,0.00000000000000099999999999999950000000000000033333333333333308333333333333353333333333333316667
Expm1,1E-15,,0.0000000000000010000000000000005000000000000001666666666666667083333333333333417
Ln1p,-1E-15,,-0.0000000000000010000000000000005000000000000003333333333333335833333333333335333333333333335000
Expm1,-1E-15,,-0.00000000000000099999999999999950000000000000016666666666666662500000000000000833
Ln1p,0.0025,,0.0024968801985871989802319350642681795247340749617253447812605923176244442899044756
Expm1,0.0025,,0.0025031276057950849746220074107854040088479188402069684080067299322227082993239
Ln1p,-0.0025,,-0.0025031302181185303608217400315225798312486972743170015759711009375656052592188683
Expm1,-0.0025,,-0.00249687760253987596312019561123122673613208283121554341211352244278222596355101
Expm1,10,,22025.465794806716516957900645284244366353512618556781074235426355225202818570793
Expm1,-10,,-0.99995460007023751514846440848443944938976208191113343503074092869434900057838570
Expm1,20,,485165194.40979027796910683054154055868463898894484725435361080031597799614270974
Expm1,-20,,-0.99999999793884637756144217203405961984417902362419272440089630702775533837083598
Expm1,1E-18,,0.0000000000000000010000000000000000005000000000000000001666666666666666667083333
Ln1p,100,,4.6151205168412594508841982669129891568908825871976047499312653617020118836023439
Ln1p,1000,,6.9087547793152205852207837629736276342640595282794854800970033697316181539897162
Ln1p,-0.9999999999,,-23.025850929940456840179914546843642076011014886287729760333279009675726096773525
Pow,2,0.5,1.4142135623730950488016887242096980785696718753769480731766797379907324784621070
Pow,2,1.5,2.8284271247461900976033774484193961571393437507538961463533594759814649569242142
Pow,2,0.3333333333,1.2599210498657628073187883195567128776838439211838363859397851769597617004922870
Pow,10,0.3010299956639811952,1.9999999999999999999367300516263356406040991597342757842631427446233311547451128
Pow,1.05,12,1.7958563260221291503906250000000000000000000000000000000000000000000000000000000
Pow,1.05,0.0833333333333333333,1.0040741237836483016037866379608510705475000538290667478548653208330676326131191
Pow,1.06,0.4166666666666666667,1.0245758393924285985235541548340285778678435914150227586941440722572272690231536
Pow,1.000164383561643836,365,1.0618313106778538379827193245453920763811070235069504428395824232611538956147051
Pow,3,2.5,15.588457268119895641747017073552851302485247284293425652502262815067397152179202
Pow,7,-1.5,0.053994924715603889602073790890597151545107330266988779191190499167368751494495579
Pow,1.1,0.1,1.0095765827768870257177345813696421956684582883855215708964986083751571134563887
Pow,0.98,52,0.34974856075566722943476597178763755764829697314377432917565364925335619147259421
Pow,2.718281828459045235,1,2.7182818284590452350000000000000000000000000000000000000000000000000000000000000
Pow,100,0.5,10.000000000000000000000000000000000000000000000000000000000000000000000000000000
Pow,1.0001,10000,2.7181459268252248640376646749131465361138226492207208183708658737874197737715140
Pow,1.5,-2.7182818284590452,0.33215005627494412281981004470573863478991374194059400199552516900542391159478785
Log10,1,,0
Log10,10,,1
Log10,100,,2
Log10,1000,,3
Log10,0.1,,-1
Log10,0.01,,-2
Log10,0.001,,-3
Log10,1.00,,0
Log10,0.0000000000000000001,,-19
Log10,10000000000000000000,,19
Log10,2,,0.30102999566398119521373889472449302676818988146210854131042746112710818927442451
Log10,3,,0.47712125471966243729502790325511530920012886419069586482986564030522915278366112
Log10,7,,0.84509804001425683071221625859263619348357239632396540650363495371825343990207917
Log10,0.5,,-0.30102999566398119521373889472449302676818988146210854131042746112710818927442451
Log10,1.5,,0.17609125905568124208128900853062228243193898272858732351943817917812096350923661
Log10,2.718281828459045235,,0.43429448190325182759356650611997526459656188834320514874682094491989698963320366
Log10,123456789.123456789,,8.0915149776035649292044382099038150907986242839421831406498410438204965030761125
Log10,340282366920938463463374607431768211455,,38.531839444989592987358578524735107426327028550374716875991515338498862718936458
Log10,0.9999,,-0.000043431619807510384556044023807226673750725945702584337911063761340651830318525573
Log10,1.0001,,0.000043427276862669637313527585098268131097962775892530773246404211584759010790945155
Log10,999.9999999,,2.9999999999565705518075033448252260841427719058713784478172006662230629490531667
Log10,1000.000001,,3.0000000004342944816861045868442678322835509449975167103574888128566607794334284
Log2,1,,0
Log2,2,,1
Log2,4,,2
Log2,8,,3
Log2,1024,,10
Log2,0.5,,-1
Log2,0.25,,-2
Log2,0.125,,-3
Log2,0.0625,,-4
Log2,1.0,,0
Log2,2.0,,1
Log2,536870912,,29
Log2,10,,3.3219280948873623478703194294893901758648313930245806120547563958159347766086252
Log2,3,,1.5849625007211561814537389439478165087598144076924810604557526545410982277943586
Log2,1.5,,0.58496250072115618145373894394781650875981440769248106045575265454109822779435856
Log2,0.75,,-0.41503749927884381854626105605218349124018559230751893954424734545890177220564144
Log2,1.0001,,0.00014426229109455417839107090005747970102473808480494998080786842067852890212936142
Log2,0.9999,,-0.00014427671804503520277766984582522744161369206367499172906958303190029806739651349
Log2,2.718281828459045235,,1.442695040888963407168706484723263719729811119493560475545213990764118685063241
Log2,340282366920938463463374607431768211455,,127.9999999999999999999999999999999999999957603003236892360684005498470650624637
Ln,1.0000001,,0.000000099999995000000333333308333335333333166666680952379702381063492053492064401154318
Ln,0.9999999,,-0.00000010000000500000033333335833333533333350000001428571553571439682540682539773448782
Ln,6.5,,1.8718021769015914266362553201071420367297678103999518622983655011700710453547155
Ln,0.0001,,-9.2103403719761827360719658187374568304044059545150919041333116038702904387094099
Ln,10000000000000000000,,43.749116766886867996341837639002919944420928283946686544633230118383879583869697
Ln,2.7182818284590452354,,1.0000000000000000000146094228462874145710217544903811503151234926061961327956255
Ln,1.000000000000000001,,0.00000000000000000099999999999999999950000000000000000033333333333333333308333333333333333353333333
Ln,0.999999999999999999,,-0.0000000000000000010000000000000000005000000000000000003333333333333333335833333333333333335333333
Ln,9.999999999999999999,,2.3025850929940456839179914546843642075961014886287729760329945676342392763439941
Ln,1.000000000000000000,,0
Exp,0.0001,,1.0001000050001666708334166680555753970734154541721783810346353909723112359727818
Exp,-0.0001,,0.99990000499983333749991666805553571453372740302579340027465459887346358004013905
Exp,3.141592653589793238,,23.140692632779268995023198036888479344483064453038286683055218997490164955220453
Exp,20,,485165195.40979027796910683054154055868463898894484725435361080031597799614270974
Exp,-20,,0.0000000020611536224385578279659403801558209763758072755991036929722446616291640237845594
Exp,60,,114200738981568428366295718.31447656301980459595563958395650279917582048588847634
Exp,-60,,0.0000000000000000000000000087565107626965203384887328007391660365571074817817589060567154238794020267333768
Exp,88.0296919311130543,,170141183460469232414212161790347422220.12970781420645620025362529962191670666659
Exp,0.6931471805599453094,,1.9999999999999999999655357570836468638492966772894388410894475537783771945171114
Exp,-0.6931471805599453094,,0.50000000000000000000861606072908828403782430368261496439304275077293958194818623
Exp,2.302585092994045684,,9.9999999999999999998200854531563579239906035759205678936114998052084928589447316
Exp,0.0000000001,,1.0000000001000000000050000000001666666666708333333334166666666680555555555753968
Exp,-0.0000000001,,0.99999999990000000000499999999983333333333749999999991666666666805555555553571429
Log10,0.0000000001234567890,,-9.9084850228307295524816663769404527414849266610553335697076477690361642763573159
Log2,0.0000000000000000001,,-63.116633802859884609536069160298413341431796467467031629040371520502760755563879
